movieName,positiveFrequency,rating
Joseph,4,5
Joseph,5,5
Joseph,3,4
Joseph,7,5
Joseph,9,5
Joseph,30,5
Joseph,6,5
Joseph,39,2
Joseph,34,5
Joseph,13,5
Joseph,5,5
Joseph,3,5
Joseph,5,5
Joseph,10,5
Joseph,10,5
Joseph,2,5
Joseph,3,5
Joseph,51,5
Joseph,6,5
Joseph,10,5
Joseph,10,5
Joseph,5,4
Joseph,19,5
Joseph,6,5
Joseph,15,4
Joseph,7,5
Joseph,21,5
Joseph,15,5
Joseph,14,5
Joseph,15,3
Joseph,3,5
Joseph,3,5
Joseph,10,5
Joseph,4,5
Joseph,7,4
Joseph,1,5
Joseph,3,4
Joseph,49,5
Joseph,4,5
Joseph,10,5
Joseph,6,5
Joseph,10,5
Joseph,16,5
Joseph,9,5
Joseph,6,5
Joseph,21,4
Joseph,4,5
Joseph,2,5
Joseph,5,5
Joseph,19,4
Joseph,11,5
Joseph,7,5
Joseph,21,5
Joseph,5,5
Joseph,8,1
Joseph,5,5
Joseph,7,5
Joseph,15,5
Joseph,4,5
Joseph,19,4
Joseph,31,5
Joseph,28,4
Joseph,21,5
Joseph,29,5
Joseph,2,5
Joseph,7,5
Joseph,7,5
Joseph,9,5
Joseph,5,5
Mouse on the Mayflower,19,5
Mouse on the Mayflower,27,4
Mouse on the Mayflower,56,5
Mouse on the Mayflower,13,5
Mouse on the Mayflower,29,5
Frosty the Snowman,3,5
Frosty the Snowman,10,5
Frosty the Snowman,5,5
Frosty the Snowman,5,5
Frosty the Snowman,3,4
Frosty the Snowman,2,5
Frosty the Snowman,4,5
Frosty the Snowman,2,5
Frosty the Snowman,6,5
Frosty the Snowman,12,5
Frosty the Snowman,9,5
Frosty the Snowman,3,5
Frosty the Snowman,3,5
Frosty the Snowman,14,5
Frosty the Snowman,4,5
Frosty the Snowman,3,5
Frosty the Snowman,18,4
Frosty the Snowman,52,4
Frosty the Snowman,5,5
Frosty the Snowman,6,5
Frosty the Snowman,4,5
Frosty the Snowman,23,5
Frosty the Snowman,3,5
Frosty the Snowman,1,5
Frosty the Snowman,80,5
Frosty the Snowman,2,5
Frosty the Snowman,4,4
Frosty the Snowman,3,4
Frosty the Snowman,8,5
Frosty the Snowman,16,5
Frosty the Snowman,13,3
Frosty the Snowman,6,5
Frosty the Snowman,3,5
Frosty the Snowman,20,5
Frosty the Snowman,20,3
Frosty the Snowman,9,5
Frosty the Snowman,1,5
Frosty the Snowman,24,5
Frosty the Snowman,12,4
Frosty the Snowman,12,5
Frosty Returns,5,5
Frosty Returns,13,2
Frosty Returns,5,1
Frosty Returns,47,4
Frosty Returns,11,1
Frosty Returns,8,1
The Little Drummer Boy,3,5
The Little Drummer Boy,4,5
The Little Drummer Boy,14,5
The Little Drummer Boy,1,5
The Little Drummer Boy,5,5
The Little Drummer Boy,25,5
The Little Drummer Boy,3,5
The Little Drummer Boy,3,5
The Little Drummer Boy,6,5
The Little Drummer Boy,18,5
The Little Drummer Boy,8,5
The Little Drummer Boy,19,5
The Little Drummer Boy,3,5
The Little Drummer Boy,4,5
The Little Drummer Boy,5,5
The Little Drummer Boy,4,5
The Little Drummer Boy,46,3
The Little Drummer Boy,2,5
The Little Drummer Boy,3,5
The Little Drummer Boy,6,5
The Little Drummer Boy,13,5
The Little Drummer Boy,9,2
The Little Drummer Boy,3,5
The Little Drummer Boy,2,5
The Little Drummer Boy,11,5
The Little Drummer Boy,4,5
The Little Drummer Boy,7,5
The Little Drummer Boy,25,1
The Little Drummer Boy,12,3
The Little Drummer Boy,4,5
The Little Drummer Boy,5,5
The Little Drummer Boy,10,5
The Little Drummer Boy,6,4
The Little Drummer Boy,6,5
The Little Drummer Boy,9,4
The Little Drummer Boy,19,5
The Little Drummer Boy,7,5
The Little Drummer Boy,15,5
The Little Drummer Boy,5,5
The Little Drummer Boy,2,5
The Little Drummer Boy,7,5
The Little Drummer Boy,12,5
The Little Drummer Boy,8,5
The Little Drummer Boy,10,5
The Little Drummer Boy,6,5
The Little Drummer Boy,4,5
The Little Drummer Boy,3,5
The Little Drummer Boy,16,5
The Little Drummer Boy,6,5
The Little Drummer Boy,32,5
The Little Drummer Boy,16,4
The Little Drummer Boy,8,1
The Little Drummer Boy,2,5
The Little Drummer Boy,14,5
Rudolph the Red Nosed Reindeer,16,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,7,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,15,5
Rudolph the Red Nosed Reindeer,19,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,57,5
Rudolph the Red Nosed Reindeer,12,5
Rudolph the Red Nosed Reindeer,25,5
Rudolph the Red Nosed Reindeer,55,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,7,5
Rudolph the Red Nosed Reindeer,8,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,50,5
Rudolph the Red Nosed Reindeer,117,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,21,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,25,1
Rudolph the Red Nosed Reindeer,20,4
Rudolph the Red Nosed Reindeer,43,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,31,5
Rudolph the Red Nosed Reindeer,25,4
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,20,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,39,4
Rudolph the Red Nosed Reindeer,20,3
Rudolph the Red Nosed Reindeer,7,1
Rudolph the Red Nosed Reindeer,25,5
Rudolph the Red Nosed Reindeer,14,3
Rudolph the Red Nosed Reindeer,41,4
Rudolph the Red Nosed Reindeer,51,4
Rudolph the Red Nosed Reindeer,18,5
Rudolph the Red Nosed Reindeer,33,5
Rudolph the Red Nosed Reindeer,40,4
Rudolph the Red Nosed Reindeer,19,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,24,4
Rudolph the Red Nosed Reindeer,27,5
Rudolph the Red Nosed Reindeer,11,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,28,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,27,5
Rudolph the Red Nosed Reindeer,8,5
Rudolph the Red Nosed Reindeer,20,5
Rudolph the Red Nosed Reindeer,31,4
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,17,4
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,30,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,31,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,7,1
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,10,5
Rudolph the Red Nosed Reindeer,7,5
Rudolph the Red Nosed Reindeer,68,5
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,25,5
Rudolph the Red Nosed Reindeer,36,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,15,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,10,4
Rudolph the Red Nosed Reindeer,23,5
Rudolph the Red Nosed Reindeer,24,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,9,5
Rudolph the Red Nosed Reindeer,8,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,3,4
Rudolph the Red Nosed Reindeer,7,5
Rudolph the Red Nosed Reindeer,18,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,16,4
Rudolph the Red Nosed Reindeer,14,5
Rudolph the Red Nosed Reindeer,17,5
Rudolph the Red Nosed Reindeer,22,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,18,5
Rudolph the Red Nosed Reindeer,14,5
Rudolph the Red Nosed Reindeer,7,4
Rudolph the Red Nosed Reindeer,6,5
Rudolph the Red Nosed Reindeer,29,5
Rudolph the Red Nosed Reindeer,17,1
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,97,5
Rudolph the Red Nosed Reindeer,13,5
Rudolph the Red Nosed Reindeer,12,5
Rudolph the Red Nosed Reindeer,5,5
Rudolph the Red Nosed Reindeer,3,5
Rudolph the Red Nosed Reindeer,25,5
Rudolph the Red Nosed Reindeer,10,4
Rudolph the Red Nosed Reindeer,22,5
Rudolph the Red Nosed Reindeer,31,5
Rudolph the Red Nosed Reindeer,2,5
Rudolph the Red Nosed Reindeer,16,5
Rudolph the Red Nosed Reindeer,1,5
Rudolph the Red Nosed Reindeer,4,5
Rudolph the Red Nosed Reindeer,31,5
Rudolph the Red Nosed Reindeer,37,5
Rudolph the Red Nosed Reindeer,19,5
Underdog,13,4
Underdog,5,5
Underdog,14,5
Underdog,25,5
Underdog,13,1
Underdog,20,5
Underdog,13,2
Underdog,15,5
Underdog,8,1
Underdog,32,5
Underdog,23,2
Underdog,6,5
Underdog,9,2
Underdog,6,3
Underdog,13,5
Underdog,8,5
Underdog,20,3
Underdog,14,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,19,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,21,5
Gifted Hands: The Ben Carson,9,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,6,3
Gifted Hands: The Ben Carson,21,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,6,1
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,9,5
Gifted Hands: The Ben Carson,23,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,18,5
Gifted Hands: The Ben Carson,9,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,55,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,28,5
Gifted Hands: The Ben Carson,41,5
Gifted Hands: The Ben Carson,18,4
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,2,5
Gifted Hands: The Ben Carson,12,4
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,23,5
Gifted Hands: The Ben Carson,17,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,17,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,42,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,12,4
Gifted Hands: The Ben Carson,40,5
Gifted Hands: The Ben Carson,23,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,24,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,7,1
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,19,5
Gifted Hands: The Ben Carson,7,4
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,14,5
Gifted Hands: The Ben Carson,16,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,2,5
Gifted Hands: The Ben Carson,16,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,5,5
George Lucas in Love,9,5
George Lucas in Love,19,5
George Lucas in Love,33,5
George Lucas in Love,22,5
George Lucas in Love,12,5
George Lucas in Love,9,4
George Lucas in Love,8,5
George Lucas in Love,7,5
George Lucas in Love,53,5
George Lucas in Love,20,5
George Lucas in Love,11,5
George Lucas in Love,6,5
George Lucas in Love,23,5
George Lucas in Love,19,5
George Lucas in Love,3,4
George Lucas in Love,19,5
George Lucas in Love,8,3
George Lucas in Love,1,5
George Lucas in Love,33,4
George Lucas in Love,12,5
George Lucas in Love,28,3
George Lucas in Love,2,5
George Lucas in Love,8,5
George Lucas in Love,12,5
George Lucas in Love,29,5
George Lucas in Love,12,5
First Flight: A Mother Hummingbirds Story,11,5
First Flight: A Mother Hummingbirds Story,40,5
First Flight: A Mother Hummingbirds Story,19,2
First Flight: A Mother Hummingbirds Story,9,5
First Flight: A Mother Hummingbirds Story,13,5
G3 - Live in Concert,4,3
G3 - Live in Concert,7,2
G3 - Live in Concert,15,4
G3 - Live in Concert,3,5
G3 - Live in Concert,39,5
G3 - Live in Concert,11,5
G3 - Live in Concert,30,5
G3 - Live in Concert,51,3
G3 - Live in Concert,16,5
G3 - Live in Concert,11,5
G3 - Live in Concert,8,4
G3 - Live in Concert,18,4
G3 - Live in Concert,8,5
G3 - Live in Concert,35,5
G3 - Live in Concert,8,5
G3 - Live in Concert,46,5
G3 - Live in Concert,16,3
G3 - Live in Concert,3,5
G3 - Live in Concert,7,5
Jeff Buckley - Live in Chicago,21,1
Jeff Buckley - Live in Chicago,14,5
Jeff Buckley - Live in Chicago,61,3
Jeff Buckley - Live in Chicago,31,4
Jeff Buckley - Live in Chicago,15,5
Jeff Buckley - Live in Chicago,4,5
Jeff Buckley - Live in Chicago,53,4
Jeff Buckley - Live in Chicago,14,5
Jeff Buckley - Live in Chicago,76,5
Jeff Buckley - Live in Chicago,19,5
Jeff Buckley - Live in Chicago,28,4
Jeff Buckley - Live in Chicago,15,5
Jeff Buckley - Live in Chicago,43,5
Jeff Buckley - Live in Chicago,17,4
Jeff Buckley - Live in Chicago,39,5
Jeff Buckley - Live in Chicago,7,4
Sesame Street: Elmos World,18,4
Sesame Street: Elmos World,4,5
Sesame Street: Elmos World,7,5
Sesame Street: Elmos World,2,5
Sesame Street: Elmos World,3,4
Sesame Street: Elmos World,9,5
Sesame Street: Elmos World,4,2
Sesame Street: Elmos World,9,5
Sesame Street: Elmos World,4,4
Sesame Street: Elmos World,1,5
Sesame Street: Elmos World,8,5
Sesame Street: Elmos World,16,5
Sesame Street: Elmos World,15,5
Sesame Street: Elmos World,5,4
Sesame Street: Elmos World,13,4
Sesame Street: Elmos World,13,4
Sesame Street: Elmos World,18,5
Sesame Street: Elmos World,5,5
Sesame Street: Elmos World,5,5
Sesame Street: Elmos World,11,5
Sesame Street: Elmos World,8,5
Sesame Street: Elmos World,17,5
Sesame Street: Elmos World,8,3
Sesame Street: Elmos World,2,5
Cinderelmo,2,5
Cinderelmo,4,5
Cinderelmo,4,5
Cinderelmo,4,5
Cinderelmo,11,5
Cinderelmo,4,5
Cinderelmo,5,5
Cinderelmo,9,5
Cinderelmo,14,3
Cinderelmo,8,5
Cinderelmo,34,5
Cinderelmo,5,5
Lion of Oz,13,3
Lion of Oz,5,3
Lion of Oz,50,4
Lion of Oz,34,3
Lion of Oz,5,5
Lion of Oz,5,5
Lion of Oz,19,5
The Zen of Screaming,38,5
The Zen of Screaming,21,3
The Zen of Screaming,42,4
The Zen of Screaming,12,4
The Zen of Screaming,7,1
The Zen of Screaming,3,5
The Zen of Screaming,5,5
The Zen of Screaming,44,4
Homeless for the Holidays,3,5
Homeless for the Holidays,7,5
Homeless for the Holidays,42,4
Homeless for the Holidays,10,1
Homeless for the Holidays,28,3
Homeless for the Holidays,25,3
Homeless for the Holidays,19,5
Homeless for the Holidays,18,5
Hells Angels on Wheels,40,2
Hells Angels on Wheels,12,3
Hells Angels on Wheels,10,4
Hells Angels on Wheels,5,2
Hells Angels on Wheels,38,2
Hells Angels on Wheels,11,4
Hells Angels on Wheels,7,5
Hells Angels on Wheels,10,1
Hells Angels on Wheels,19,5
Hells Angels on Wheels,9,4
Hells Angels on Wheels,9,4
Hells Angels on Wheels,4,1
Hells Angels on Wheels,70,3
Ice House,5,4
Ice House,2,5
Ice House,7,3
Ice House,14,4
Ice House,22,5
Ice House,6,5
Ice House,3,4
Ice House,3,5
Ice House,23,5
Ice House,14,4
Ice House,6,3
Ice House,7,1
Ice House,32,5
Ice House,5,3
Ice House,14,5
Ice House,41,5
Ice House,5,5
Ice House,5,5
Ice House,80,4
Ice House,7,4
Ice House,17,5
Ice House,8,5
Ice House,8,5
Ice House,7,5
Ice House,6,5
Ice House,4,4
Ice House,8,5
Ice House,10,5
Ice House,4,5
Ice House,3,3
Ice House,4,3
Ice House,6,5
Ice House,7,5
Ice House,8,3
Ice House,22,5
Ice House,5,5
Ice House,2,4
Ice House,46,5
The Woman in White,17,5
The Woman in White,2,4
The Woman in White,100,1
The Woman in White,21,4
The Woman in White,55,3
The Woman in White,19,4
Take the Money and Run,6,5
Take the Money and Run,24,3
Take the Money and Run,10,2
Take the Money and Run,17,5
Take the Money and Run,12,5
Take the Money and Run,19,3
Take the Money and Run,76,5
Take the Money and Run,10,5
Take the Money and Run,28,4
Take the Money and Run,5,2
Take the Money and Run,5,5
Take the Money and Run,34,5
Take the Money and Run,29,5
Take the Money and Run,3,2
Take the Money and Run,21,5
Take the Money and Run,31,5
Take the Money and Run,5,5
Take the Money and Run,37,3
Take the Money and Run,9,4
Take the Money and Run,21,1
Take the Money and Run,16,4
Take the Money and Run,8,4
Take the Money and Run,35,5
Take the Money and Run,24,5
Take the Money and Run,17,3
Take the Money and Run,3,5
Take the Money and Run,11,5
Take the Money and Run,36,3
Take the Money and Run,3,1
Take the Money and Run,30,4
Take the Money and Run,17,5
Take the Money and Run,1,5
Take the Money and Run,7,5
Take the Money and Run,38,5
Take the Money and Run,13,4
Take the Money and Run,6,3
Take the Money and Run,2,5
Take the Money and Run,8,1
Take the Money and Run,31,5
Take the Money and Run,48,3
Take the Money and Run,14,5
Take the Money and Run,11,1
Take the Money and Run,3,4
Take the Money and Run,1,5
Take the Money and Run,14,4
Take the Money and Run,7,5
Take the Money and Run,5,4
Take the Money and Run,5,5
Take the Money and Run,7,4
Take the Money and Run,20,5
Take the Money and Run,5,5
Take the Money and Run,22,5
Take the Money and Run,21,3
Take the Money and Run,27,3
Take the Money and Run,11,5
Take the Money and Run,16,4
Take the Money and Run,3,5
Take the Money and Run,10,5
Take the Money and Run,14,4
Take the Money and Run,9,5
Take the Money and Run,10,5
Wuthering Heights,22,5
Wuthering Heights,2,3
Wuthering Heights,24,4
Wuthering Heights,12,4
Wuthering Heights,3,3
Wuthering Heights,26,2
Wuthering Heights,20,5
Wuthering Heights,40,4
Wuthering Heights,36,5
Wuthering Heights,4,5
Wuthering Heights,22,5
Wuthering Heights,5,1
Wuthering Heights,3,4
Wuthering Heights,16,3
Wuthering Heights,4,1
Wuthering Heights,5,4
Wuthering Heights,17,4
Wuthering Heights,4,4
Wuthering Heights,7,3
Wuthering Heights,14,5
Wuthering Heights,7,1
Wuthering Heights,6,5
Wuthering Heights,3,5
Hell in the Pacific,8,4
Hell in the Pacific,32,3
Hell in the Pacific,5,5
Hell in the Pacific,23,4
Hell in the Pacific,21,4
Hell in the Pacific,41,4
Hell in the Pacific,21,5
Hell in the Pacific,9,5
Hell in the Pacific,16,4
Hell in the Pacific,4,4
Hell in the Pacific,57,4
Hell in the Pacific,14,4
Hell in the Pacific,8,4
Hell in the Pacific,6,4
Hell in the Pacific,4,5
Hell in the Pacific,2,5
Hell in the Pacific,15,4
Hell in the Pacific,4,3
Hell in the Pacific,19,4
Hell in the Pacific,10,4
Hell in the Pacific,5,1
Hell in the Pacific,6,5
Hell in the Pacific,3,5
Hell in the Pacific,26,3
Hell in the Pacific,31,4
Hell in the Pacific,6,5
Hell in the Pacific,33,5
Last Valley,54,5
Last Valley,26,4
Last Valley,15,4
Last Valley,4,4
Last Valley,16,5
Last Valley,65,4
Last Valley,12,3
Last Valley,6,1
Last Valley,47,2
Last Valley,23,4
Last Valley,17,5
Last Valley,8,3
Last Valley,15,4
Last Valley,47,4
Last Valley,14,4
Last Valley,33,4
Last Valley,15,4
Last Valley,2,5
Last Valley,3,1
Last Valley,15,5
Last Valley,4,5
Last Valley,8,4
Last Valley,66,3
Last Valley,2,3
Last Valley,25,2
Last Valley,24,4
Last Valley,39,5
Last Valley,32,5
Last Valley,16,4
Last Valley,15,5
Last Valley,61,5
Last Valley,10,4
Last Valley,16,5
Last Valley,28,5
Last Valley,96,5
Heat of the Sun,35,5
Heat of the Sun,1,5
Heat of the Sun,3,5
Heat of the Sun,26,4
Heat of the Sun,6,5
Heat of the Sun,50,5
Heat of the Sun,3,5
Heat of the Sun,8,5
Heat of the Sun,3,5
Heat of the Sun,29,5
Heat of the Sun,7,5
Heat of the Sun,11,5
Heat of the Sun,5,5
Heat of the Sun,20,5
Heat of the Sun,11,5
Heat of the Sun,3,4
Heat of the Sun,8,5
Heat of the Sun,6,5
Heat of the Sun,10,5
Heat of the Sun,12,5
Heat of the Sun,9,3
Heat of the Sun,10,3
Heat of the Sun,12,5
Heat of the Sun,8,5
Heat of the Sun,12,5
Heat of the Sun,6,5
Heat of the Sun,31,5
Heat of the Sun,6,4
Heat of the Sun,38,4
Heat of the Sun,103,5
Heat of the Sun,20,5
Heat of the Sun,18,5
Heat of the Sun,11,5
The Viking Queen,23,3
The Viking Queen,30,3
The Viking Queen,15,2
The Viking Queen,33,1
The Viking Queen,28,3
The Viking Queen,3,5
The Viking Queen,7,5
The Viking Queen,11,5
The Viking Queen,36,3
The Viking Queen,51,4
Condorman,10,1
Condorman,5,5
Condorman,8,5
Condorman,46,4
Condorman,8,1
Condorman,16,1
Condorman,10,5
