movieName,differenceFrequency,rating
Gifted Hands: The Ben Carson,2,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,19,5
Gifted Hands: The Ben Carson,9,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,3,3
Gifted Hands: The Ben Carson,18,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,6,1
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,0,5
Gifted Hands: The Ben Carson,9,5
Gifted Hands: The Ben Carson,21,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,11,5
Gifted Hands: The Ben Carson,14,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,36,5
Gifted Hands: The Ben Carson,0,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,17,5
Gifted Hands: The Ben Carson,31,5
Gifted Hands: The Ben Carson,17,4
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,9,4
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,20,5
Gifted Hands: The Ben Carson,16,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,30,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,10,4
Gifted Hands: The Ben Carson,30,5
Gifted Hands: The Ben Carson,21,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,18,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,7,5
Gifted Hands: The Ben Carson,5,5
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,1,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,5,1
Gifted Hands: The Ben Carson,12,5
Gifted Hands: The Ben Carson,8,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,13,5
Gifted Hands: The Ben Carson,10,5
Gifted Hands: The Ben Carson,14,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,17,5
Gifted Hands: The Ben Carson,6,4
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,2,5
Gifted Hands: The Ben Carson,3,5
Gifted Hands: The Ben Carson,11,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,6,5
Gifted Hands: The Ben Carson,-1,5
Gifted Hands: The Ben Carson,15,5
Gifted Hands: The Ben Carson,4,5
Gifted Hands: The Ben Carson,4,5
George Lucas in Love,9,5
George Lucas in Love,13,5
George Lucas in Love,23,5
George Lucas in Love,16,5
George Lucas in Love,7,5
George Lucas in Love,6,4
George Lucas in Love,3,5
George Lucas in Love,7,5
George Lucas in Love,37,5
George Lucas in Love,14,5
George Lucas in Love,8,5
George Lucas in Love,3,5
George Lucas in Love,16,5
George Lucas in Love,15,5
George Lucas in Love,2,4
George Lucas in Love,12,5
George Lucas in Love,4,3
George Lucas in Love,1,5
George Lucas in Love,26,4
George Lucas in Love,9,5
George Lucas in Love,24,3
George Lucas in Love,1,5
George Lucas in Love,7,5
George Lucas in Love,8,5
George Lucas in Love,18,5
George Lucas in Love,5,5
First Flight: A Mother Hummingbirds Story,9,5
First Flight: A Mother Hummingbirds Story,29,5
First Flight: A Mother Hummingbirds Story,14,2
First Flight: A Mother Hummingbirds Story,6,5
First Flight: A Mother Hummingbirds Story,6,5
G3 - Live in Concert,4,3
G3 - Live in Concert,6,2
G3 - Live in Concert,12,4
G3 - Live in Concert,3,5
G3 - Live in Concert,36,5
G3 - Live in Concert,9,5
G3 - Live in Concert,28,5
G3 - Live in Concert,40,3
G3 - Live in Concert,14,5
G3 - Live in Concert,9,5
G3 - Live in Concert,6,4
G3 - Live in Concert,16,4
G3 - Live in Concert,6,5
G3 - Live in Concert,26,5
G3 - Live in Concert,6,5
G3 - Live in Concert,39,5
G3 - Live in Concert,14,3
G3 - Live in Concert,2,5
G3 - Live in Concert,4,5
Jeff Buckley - Live in Chicago,19,1
Jeff Buckley - Live in Chicago,8,5
Jeff Buckley - Live in Chicago,49,3
Jeff Buckley - Live in Chicago,24,4
Jeff Buckley - Live in Chicago,11,5
Jeff Buckley - Live in Chicago,1,5
Jeff Buckley - Live in Chicago,35,4
Jeff Buckley - Live in Chicago,12,5
Jeff Buckley - Live in Chicago,53,5
Jeff Buckley - Live in Chicago,14,5
Jeff Buckley - Live in Chicago,25,4
Jeff Buckley - Live in Chicago,11,5
Jeff Buckley - Live in Chicago,33,5
Jeff Buckley - Live in Chicago,10,4
Jeff Buckley - Live in Chicago,28,5
Jeff Buckley - Live in Chicago,4,4
Sesame Street: Elmos World,14,4
Sesame Street: Elmos World,2,5
Sesame Street: Elmos World,2,5
Sesame Street: Elmos World,1,5
Sesame Street: Elmos World,2,4
Sesame Street: Elmos World,9,5
Sesame Street: Elmos World,2,2
Sesame Street: Elmos World,7,5
Sesame Street: Elmos World,4,4
Sesame Street: Elmos World,1,5
Sesame Street: Elmos World,8,5
Sesame Street: Elmos World,12,5
Sesame Street: Elmos World,12,5
Sesame Street: Elmos World,4,4
Sesame Street: Elmos World,10,4
Sesame Street: Elmos World,11,4
Sesame Street: Elmos World,14,5
Sesame Street: Elmos World,5,5
Sesame Street: Elmos World,4,5
Sesame Street: Elmos World,10,5
Sesame Street: Elmos World,6,5
Sesame Street: Elmos World,14,5
Sesame Street: Elmos World,6,3
Sesame Street: Elmos World,1,5
Cinderelmo,0,5
Cinderelmo,4,5
Cinderelmo,4,5
Cinderelmo,3,5
Cinderelmo,6,5
Cinderelmo,3,5
Cinderelmo,-1,5
Cinderelmo,6,5
Cinderelmo,10,3
Cinderelmo,8,5
Cinderelmo,25,5
Cinderelmo,2,5
Lion of Oz,4,3
Lion of Oz,4,3
Lion of Oz,29,4
Lion of Oz,30,3
Lion of Oz,5,5
Lion of Oz,5,5
Lion of Oz,12,5
The Zen of Screaming,21,5
The Zen of Screaming,16,3
The Zen of Screaming,29,4
The Zen of Screaming,12,4
The Zen of Screaming,4,1
The Zen of Screaming,0,5
The Zen of Screaming,5,5
The Zen of Screaming,32,4
Homeless for the Holidays,2,5
Homeless for the Holidays,7,5
Homeless for the Holidays,22,4
Homeless for the Holidays,10,1
Homeless for the Holidays,18,3
Homeless for the Holidays,11,3
Homeless for the Holidays,17,5
Homeless for the Holidays,13,5
Hells Angels on Wheels,18,2
Hells Angels on Wheels,10,3
Hells Angels on Wheels,6,4
Hells Angels on Wheels,2,2
Hells Angels on Wheels,21,2
Hells Angels on Wheels,8,4
Hells Angels on Wheels,4,5
Hells Angels on Wheels,6,1
Hells Angels on Wheels,15,5
Hells Angels on Wheels,8,4
Hells Angels on Wheels,5,4
Hells Angels on Wheels,0,1
Hells Angels on Wheels,50,3
Ice House,5,4
Ice House,2,5
Ice House,6,3
Ice House,11,4
Ice House,19,5
Ice House,5,5
Ice House,1,4
Ice House,3,5
Ice House,14,5
Ice House,8,4
Ice House,4,3
Ice House,4,1
Ice House,30,5
Ice House,5,3
Ice House,14,5
Ice House,28,5
Ice House,3,5
Ice House,5,5
Ice House,56,4
Ice House,7,4
Ice House,13,5
Ice House,7,5
Ice House,7,5
Ice House,7,5
Ice House,6,5
Ice House,3,4
Ice House,6,5
Ice House,10,5
Ice House,3,5
Ice House,0,3
Ice House,3,3
Ice House,5,5
Ice House,6,5
Ice House,8,3
Ice House,20,5
Ice House,4,5
Ice House,2,4
Ice House,18,5
The Woman in White,8,5
The Woman in White,2,4
The Woman in White,60,1
The Woman in White,16,4
The Woman in White,33,3
The Woman in White,15,4
Take the Money and Run,4,5
Take the Money and Run,17,3
Take the Money and Run,5,2
Take the Money and Run,10,5
Take the Money and Run,10,5
Take the Money and Run,15,3
Take the Money and Run,53,5
Take the Money and Run,5,5
Take the Money and Run,19,4
Take the Money and Run,2,2
Take the Money and Run,3,5
Take the Money and Run,23,5
Take the Money and Run,14,5
Take the Money and Run,3,2
Take the Money and Run,8,5
Take the Money and Run,22,5
Take the Money and Run,2,5
Take the Money and Run,24,3
Take the Money and Run,8,4
Take the Money and Run,10,1
Take the Money and Run,13,4
Take the Money and Run,5,4
Take the Money and Run,18,5
Take the Money and Run,14,5
Take the Money and Run,12,3
Take the Money and Run,1,5
Take the Money and Run,8,5
Take the Money and Run,30,3
Take the Money and Run,2,1
Take the Money and Run,11,4
Take the Money and Run,6,5
Take the Money and Run,-1,5
Take the Money and Run,1,5
Take the Money and Run,29,5
Take the Money and Run,8,4
Take the Money and Run,4,3
Take the Money and Run,0,5
Take the Money and Run,4,1
Take the Money and Run,22,5
Take the Money and Run,30,3
Take the Money and Run,9,5
Take the Money and Run,6,1
Take the Money and Run,2,4
Take the Money and Run,1,5
Take the Money and Run,9,4
Take the Money and Run,5,5
Take the Money and Run,2,4
Take the Money and Run,0,5
Take the Money and Run,1,4
Take the Money and Run,11,5
Take the Money and Run,3,5
Take the Money and Run,15,5
Take the Money and Run,8,3
Take the Money and Run,15,3
Take the Money and Run,9,5
Take the Money and Run,11,4
Take the Money and Run,3,5
Take the Money and Run,9,5
Take the Money and Run,9,4
Take the Money and Run,8,5
Take the Money and Run,8,5
Wuthering Heights,16,5
Wuthering Heights,-1,3
Wuthering Heights,14,4
Wuthering Heights,9,4
Wuthering Heights,2,3
Wuthering Heights,21,2
Wuthering Heights,17,5
Wuthering Heights,31,4
Wuthering Heights,26,5
Wuthering Heights,3,5
Wuthering Heights,16,5
Wuthering Heights,4,1
Wuthering Heights,2,4
Wuthering Heights,8,3
Wuthering Heights,4,1
Wuthering Heights,3,4
Wuthering Heights,14,4
Wuthering Heights,3,4
Wuthering Heights,6,3
Wuthering Heights,10,5
Wuthering Heights,1,1
Wuthering Heights,5,5
Wuthering Heights,1,5
Hell in the Pacific,8,4
Hell in the Pacific,22,3
Hell in the Pacific,2,5
Hell in the Pacific,15,4
Hell in the Pacific,5,4
Hell in the Pacific,31,4
Hell in the Pacific,13,5
Hell in the Pacific,7,5
Hell in the Pacific,9,4
Hell in the Pacific,1,4
Hell in the Pacific,24,4
Hell in the Pacific,9,4
Hell in the Pacific,6,4
Hell in the Pacific,3,4
Hell in the Pacific,2,5
Hell in the Pacific,2,5
Hell in the Pacific,9,4
Hell in the Pacific,3,3
Hell in the Pacific,11,4
Hell in the Pacific,4,4
Hell in the Pacific,-1,1
Hell in the Pacific,6,5
Hell in the Pacific,3,5
Hell in the Pacific,13,3
Hell in the Pacific,18,4
Hell in the Pacific,3,5
Hell in the Pacific,24,5
Last Valley,27,5
Last Valley,14,4
Last Valley,13,4
Last Valley,4,4
Last Valley,8,5
Last Valley,28,4
Last Valley,8,3
Last Valley,4,1
Last Valley,32,2
Last Valley,13,4
Last Valley,15,5
Last Valley,4,3
Last Valley,9,4
Last Valley,35,4
Last Valley,13,4
Last Valley,27,4
Last Valley,7,4
Last Valley,0,5
Last Valley,2,1
Last Valley,9,5
Last Valley,0,5
Last Valley,5,4
Last Valley,42,3
Last Valley,1,3
Last Valley,17,2
Last Valley,16,4
Last Valley,28,5
Last Valley,8,5
Last Valley,11,4
Last Valley,7,5
Last Valley,24,5
Last Valley,3,4
Last Valley,11,5
Last Valley,20,5
Last Valley,60,5
Heat of the Sun,24,5
Heat of the Sun,1,5
Heat of the Sun,3,5
Heat of the Sun,17,4
Heat of the Sun,5,5
Heat of the Sun,37,5
Heat of the Sun,1,5
Heat of the Sun,6,5
Heat of the Sun,3,5
Heat of the Sun,18,5
Heat of the Sun,6,5
Heat of the Sun,11,5
Heat of the Sun,4,5
Heat of the Sun,15,5
Heat of the Sun,4,5
Heat of the Sun,3,4
Heat of the Sun,7,5
Heat of the Sun,6,5
Heat of the Sun,8,5
Heat of the Sun,12,5
Heat of the Sun,6,3
Heat of the Sun,9,3
Heat of the Sun,10,5
Heat of the Sun,7,5
Heat of the Sun,10,5
Heat of the Sun,3,5
Heat of the Sun,26,5
Heat of the Sun,6,4
Heat of the Sun,29,4
Heat of the Sun,77,5
Heat of the Sun,17,5
Heat of the Sun,13,5
Heat of the Sun,9,5
The Viking Queen,19,3
The Viking Queen,24,3
The Viking Queen,10,2
The Viking Queen,15,1
The Viking Queen,11,3
The Viking Queen,3,5
The Viking Queen,6,5
The Viking Queen,1,5
The Viking Queen,27,3
The Viking Queen,32,4
Condorman,6,1
Condorman,5,5
Condorman,8,5
Condorman,30,4
Condorman,8,1
Condorman,4,1
